Giorno gas,Prezzo medio ponderato,Volumi,,,,
13/12/2010,,,,,,
14/12/2010,,,,,,
15/12/2010,,,,,,
16/12/2010,,,,,,
17/12/2010,,,,,,
18/12/2010,,,,,,
19/12/2010,,,,,,
20/12/2010,,,,,,
21/12/2010,,,,,,
22/12/2010,,,,,,
23/12/2010,,,,,,
24/12/2010,,,,,,
25/12/2010,,,,,,
26/12/2010,,,,,,
27/12/2010,,,,,,
28/12/2010,,,,,,
29/12/2010,,,,,,
30/12/2010,,,,,,
31/12/2010,,,,,,
01/01/2011,24.8,550,,,,
02/01/2011,25,550,,,,
03/01/2011,25,"1,000",,,,
04/01/2011,25,"1,000",,,,
05/01/2011,25.249,"2,940",,,,
06/01/2011,25,"1,000",,,,
07/01/2011,,,,,,
08/01/2011,,,,,,
09/01/2011,,,,,,
10/01/2011,,,,,,
11/01/2011,,,,,,
12/01/2011,,,,,,
13/01/2011,,,,,,
14/01/2011,,,,,,
15/01/2011,,,,,,
16/01/2011,,,,,,
17/01/2011,,,,,,
18/01/2011,,,,,,
19/01/2011,,,,,,
20/01/2011,25,"1,200",,,,
21/01/2011,25.194,"1,150",,,,
22/01/2011,25,"1,200",,,,
23/01/2011,25,"1,200",,,,
24/01/2011,25.4,"1,250",,,,
25/01/2011,25.4,"1,200",,,,
26/01/2011,25.4,"1,200",,,,
27/01/2011,25.4,"1,200",,,,
28/01/2011,24.9,"1,050",,,,
29/01/2011,,,,,,
30/01/2011,,,,,,
31/01/2011,25,"1,100",,,,
01/02/2011,,,,,,
02/02/2011,,,,,,
03/02/2011,,,,,,
04/02/2011,24.941,"1,700",,,,
05/02/2011,,,,,,
06/02/2011,,,,,,
07/02/2011,,,,,,
08/02/2011,,,,,,
09/02/2011,,,,,,
10/02/2011,,,,,,
11/02/2011,,,,,,
12/02/2011,,,,,,
13/02/2011,,,,,,
14/02/2011,24.5,480,,,,
15/02/2011,,,,,,
16/02/2011,,,,,,
17/02/2011,,,,,,
18/02/2011,,,,,,
19/02/2011,,,,,,
20/02/2011,,,,,,
21/02/2011,,,,,,
22/02/2011,,,,,,
23/02/2011,24.85,"2,500",,,,
24/02/2011,24.85,"2,500",,,,
25/02/2011,24.85,"4,000",,,,
26/02/2011,,,,,,
27/02/2011,,,,,,
28/02/2011,24.85,"2,500",,,,
01/03/2011,25.8,"2,500",,,,
02/03/2011,,,,,,
03/03/2011,25.772,"7,720",,,,
04/03/2011,,,,,,
05/03/2011,25.773,"9,060",,,,
06/03/2011,25.758,"8,720",,,,
07/03/2011,25.8,"1,200",,,,
08/03/2011,25.85,"1,200",,,,
09/03/2011,25.9,"1,200",,,,
10/03/2011,25.929,"1,700",,,,
11/03/2011,26,"2,230",,,,
12/03/2011,26,"2,230",,,,
13/03/2011,26,"2,230",,,,
14/03/2011,26,"2,150",,,,
15/03/2011,26,"2,230",,,,
16/03/2011,26.109,"2,230",,,,
17/03/2011,26.157,"2,230",,,,
18/03/2011,27,"2,230",,,,
19/03/2011,27,"1,700",,,,
20/03/2011,26.8,"2,230",,,,
21/03/2011,27,"2,230",,,,
22/03/2011,,,,,,
23/03/2011,26.45,"3,500",,,,
24/03/2011,,,,,,
25/03/2011,,,,,,
26/03/2011,,,,,,
27/03/2011,,,,,,
28/03/2011,,,,,,
29/03/2011,,,,,,
30/03/2011,,,,,,
31/03/2011,26.219,"2,230",,,,
01/04/2011,,,,,,
02/04/2011,,,,,,
03/04/2011,,,,,,
04/04/2011,,,,,,
05/04/2011,,,,,,
06/04/2011,,,,,,
07/04/2011,,,,,,
08/04/2011,,,,,,
09/04/2011,,,,,,
10/04/2011,,,,,,
11/04/2011,,,,,,
12/04/2011,,,,,,
13/04/2011,24.7,300,,,,
14/04/2011,24.5,300,,,,
15/04/2011,,,,,,
16/04/2011,,,,,,
17/04/2011,,,,,,
18/04/2011,,,,,,
19/04/2011,,,,,,
20/04/2011,,,,,,
21/04/2011,,,,,,
22/04/2011,,,,,,
23/04/2011,,,,,,
24/04/2011,,,,,,
25/04/2011,,,,,,
26/04/2011,,,,,,
27/04/2011,,,,,,
28/04/2011,,,,,,
29/04/2011,,,,,,
30/04/2011,,,,,,
01/05/2011,,,,,,
02/05/2011,,,,,,
03/05/2011,,,,,,
04/05/2011,,,,,,
05/05/2011,26.6,"4,080",,,,
06/05/2011,,,,,,
07/05/2011,24.708,"1,220",,,,
08/05/2011,24.708,"1,220",,,,
09/05/2011,,,,,,
10/05/2011,,,,,,
11/05/2011,,,,,,
12/05/2011,,,,,,
13/05/2011,,,,,,
14/05/2011,,,,,,
15/05/2011,,,,,,
16/05/2011,,,,,,
17/05/2011,,,,,,
18/05/2011,,,,,,
19/05/2011,,,,,,
20/05/2011,,,,,,
21/05/2011,,,,,,
22/05/2011,,,,,,
23/05/2011,,,,,,
24/05/2011,,,,,,
25/05/2011,28.4,"2,880",,,,
26/05/2011,28.4,"2,880",,,,
27/05/2011,27.898,"3,000",,,,
28/05/2011,27.15,"1,400",,,,
29/05/2011,26.495,"6,880",,,,
30/05/2011,,,,,,
31/05/2011,,,,,,
01/06/2011,,,,,,
02/06/2011,,,,,,
03/06/2011,,,,,,
04/06/2011,26.5,504,,,,
05/06/2011,26.5,360,,,,
06/06/2011,,,,,,
07/06/2011,,,,,,
08/06/2011,,,,,,
09/06/2011,,,,,,
10/06/2011,,,,,,
11/06/2011,,,,,,
12/06/2011,26.5,960,,,,
13/06/2011,,,,,,
14/06/2011,,,,,,
15/06/2011,,,,,,
16/06/2011,26.5,"1,000",,,,
17/06/2011,,,,,,
18/06/2011,,,,,,
19/06/2011,25.478,920,,,,
20/06/2011,,,,,,
21/06/2011,,,,,,
22/06/2011,,,,,,
23/06/2011,,,,,,
24/06/2011,,,,,,
25/06/2011,,,,,,
26/06/2011,23.5,"1,200",,,,
27/06/2011,,,,,,
28/06/2011,,,,,,
29/06/2011,,,,,,
30/06/2011,,,,,,
01/07/2011,,,,,,
02/07/2011,25.2,560,,,,
03/07/2011,25.2,560,,,,
04/07/2011,,,,,,
05/07/2011,,,,,,
06/07/2011,,,,,,
07/07/2011,,,,,,
08/07/2011,,,,,,
09/07/2011,,,,,,
10/07/2011,25.9,520,,,,
11/07/2011,,,,,,
12/07/2011,,,,,,
13/07/2011,,,,,,
14/07/2011,,,,,,
15/07/2011,,,,,,
16/07/2011,,,,,,
17/07/2011,,,,,,
18/07/2011,,,,,,
19/07/2011,,,,,,
20/07/2011,,,,,,
21/07/2011,,,,,,
22/07/2011,,,,,,
23/07/2011,,,,,,
24/07/2011,,,,,,
25/07/2011,,,,,,
26/07/2011,,,,,,
27/07/2011,,,,,,
28/07/2011,,,,,,
29/07/2011,,,,,,
30/07/2011,,,,,,
31/07/2011,25.5,50,,,,
01/08/2011,,,,,,
02/08/2011,,,,,,
03/08/2011,,,,,,
04/08/2011,,,,,,
05/08/2011,,,,,,
06/08/2011,,,,,,
07/08/2011,24.083,"1,150",,,,
08/08/2011,27,"1,344",,,,
09/08/2011,,,,,,
10/08/2011,,,,,,
11/08/2011,,,,,,
12/08/2011,,,,,,
13/08/2011,,,,,,
14/08/2011,,,,,,
15/08/2011,,,,,,
16/08/2011,,,,,,
17/08/2011,,,,,,
18/08/2011,,,,,,
19/08/2011,,,,,,
20/08/2011,,,,,,
21/08/2011,,,,,,
22/08/2011,,,,,,
23/08/2011,,,,,,
24/08/2011,,,,,,
25/08/2011,,,,,,
26/08/2011,,,,,,
27/08/2011,,,,,,
28/08/2011,,,,,,
29/08/2011,,,,,,
30/08/2011,,,,,,
31/08/2011,,,,,,
01/09/2011,,,,,,
02/09/2011,,,,,,
03/09/2011,,,,,,
04/09/2011,,,,,,
05/09/2011,,,,,,
06/09/2011,,,,,,
07/09/2011,,,,,,
08/09/2011,,,,,,
09/09/2011,,,,,,
10/09/2011,,,,,,
11/09/2011,30.85,720,,,,
12/09/2011,,,,,,
13/09/2011,,,,,,
14/09/2011,,,,,,
15/09/2011,,,,,,
16/09/2011,,,,,,
17/09/2011,,,,,,
18/09/2011,30.261,"3,350",,,,
19/09/2011,,,,,,
20/09/2011,,,,,,
21/09/2011,,,,,,
22/09/2011,,,,,,
23/09/2011,,,,,,
24/09/2011,,,,,,
25/09/2011,,,,,,
26/09/2011,,,,,,
27/09/2011,,,,,,
28/09/2011,,,,,,
29/09/2011,,,,,,
30/09/2011,,,,,,
